Date,Open,High,Low,Close,Volume,Change
2000-01-04,6000,6110,5660,6110,1483967,0.1484962406015038
2000-01-05,5800,6060,5520,5580,1493604,-0.08674304418985268
2000-01-06,5750,5780,5580,5620,1087810,0.007168458781362075
2000-01-07,5560,5670,5360,5540,806195,-0.014234875444839812
2000-01-10,5600,5770,5580,5770,937615,0.041516245487364545
2000-01-11,5820,6100,5770,5770,1194974,0.0
2000-01-12,5610,5740,5600,5720,584492,-0.008665511265164683
2000-01-13,5600,5740,5560,5710,823830,-0.0017482517482517723
2000-01-14,5720,5880,5680,5830,987576,0.021015761821365997
2000-01-17,6000,6180,5920,6100,1270138,0.046312178387650116
2000-01-18,6160,6160,5980,6100,905231,0.0
2000-01-19,6000,6040,5960,5960,804159,-0.022950819672131195
2000-01-20,5860,6040,5820,6040,746360,0.01342281879194629
2000-01-21,5950,5980,5880,5880,650728,-0.026490066225165587
2000-01-24,5800,5900,5700,5700,687183,-0.030612244897959218
2000-01-25,5520,5640,5440,5440,885067,-0.04561403508771933
2000-01-26,5500,5520,5410,5480,585734,0.007352941176470562
2000-01-27,5480,5620,5430,5520,558083,0.007299270072992803
2000-01-28,5640,5880,5540,5820,766398,0.05434782608695654
2000-01-31,5640,5730,5560,5580,792689,-0.04123711340206182
2000-02-01,5600,5680,5260,5320,1429402,-0.04659498207885304
2000-02-02,5220,5370,5110,5250,1282143,-0.013157894736842146
2000-02-03,5250,5460,4970,5130,2855355,-0.02285714285714291
2000-02-07,5140,5330,5040,5240,1282835,0.021442495126705596
2000-02-08,5340,5480,5310,5430,1169244,0.03625954198473291
2000-02-09,5560,5720,5480,5720,1021023,0.05340699815837935
2000-02-10,5660,5880,5600,5760,1236979,0.006993006993007089
2000-02-11,5960,5960,5680,5700,693257,-0.01041666666666663
2000-02-14,5600,5660,5340,5380,882889,-0.056140350877192935
2000-02-15,5380,5420,5140,5200,766393,-0.03345724907063197
2000-02-16,5180,5200,4780,5000,1462389,-0.038461538461538436
2000-02-17,4939,5099,4910,5080,1303738,0.016000000000000014
2000-02-18,5370,5630,5160,5300,2175083,0.04330708661417315
2000-02-21,5200,5260,5030,5070,529722,-0.04339622641509433
2000-02-22,5000,5240,5000,5120,483669,0.009861932938856066
2000-02-23,5220,5260,5100,5140,554497,0.00390625
